Bregenz;Silvinus ii;2
Bregenz;Vitalis ii;6
Bregenz;Calvus i;6
Bregenz;Secundus i or ii;2
Bregenz;Primus iii;4
Bregenz;Iucundus ii;2
Bregenz;L. Cosius Virilis;2
Bregenz;Sabinus iii;3
Brough-on-Humber;Secundus ii;3
Broughton, Milton Keynes;Licinus;2
Broxtowe;Passenus (Passienus);2
Brumath;Amandus ii;2
Brumath;Aquitanus;2
Brumath;Ardacus ii;2
Brumath;Labio;2
Brumath;Maccarus i;4
Burghöfe;Germanus i;14
Burghöfe;Aquitanus;4
Burghöfe;Bassus ii;2
Burghöfe;Bassus ii-Coelus;3
Burghöfe;C. N- Celsus;2
Burghöfe;Castus i;2
Burghöfe;Frontinus;2
Burghöfe;Iullinus i;3
Burghöfe;Maccarus ii;2
Burghöfe;Mommo;2
Burghöfe;Passenus (Passienus);3
Burghöfe;Patricius i;2
Burghöfe;Vitalis ii;3
Burghöfe;Calvus i;2
Butzbach;Flavius Germanus (L. Flavius Germanus);3
Butzbach;Bassus iii;2
Butzbach;Carantus i;3
Butzbach;Cl- Gemma (Claudius Gemma)?;2
Butzbach;Fuscus ii;7
Butzbach;Iullinus i;2
Butzbach;Patricius i;2
Butzbach;Severus iii;2
Butzbach;Sextius Can- (Sex- Can-);3
Butzbach;Vitalis ii;5
Butzbach;L. Cosius Virilis;8
Caerhûn;Patricius i;2
Caerhûn;Primus iii;2
Caerleon;Flavius Germanus (L. Flavius Germanus);2
Caerleon;Germanus i;4
Caerleon;Martialis i;2
Caerleon;Meddillus (Mesillus);2
Caerleon;Albanus ii;2
Caerleon;Bassus iii;2
Caerleon;Bissunus;2
Caerleon;C. Silvius Patricius;4
Caerleon;Carantus i;4
Caerleon;Censor i;7
Caerleon;Cosius Rufinus;4
Caerleon;Cotto ii;4
Caerleon;Crestus i;5
Caerleon;Crispus iii;2
Caerleon;Frontinus;5
Caerleon;Fuscus ii;6
Caerleon;Iucundus iii;6
Caerleon;L. Cosius;2
Caerleon;L. Tr- Masculus;3
Caerleon;Labio;2
Caerleon;M. Crestio (M- Crestio);3
Caerleon;Memor;3
Caerleon;Mercator i (Mercatoris)?;5
Caerleon;Moi-;3
Caerleon;Montanus i;3
Caerleon;Murranus i;3
Caerleon;Passenus (Passienus);7
Caerleon;Patricius i;12
Caerleon;Paullus iii;2
Caerleon;Perrus (Perus);3
Caerleon;Pontus (Pontius)?;2
Caerleon;Rufinus iii;6
Caerleon;Rufus iii;3
Caerleon;Severus iii;12
Caerleon;Silvinus ii;6
Caerleon;Sulpicius;6
Caerleon;Virilis ii;3
Caerleon;Virtus i;3
Caerleon;Vitalis ii;15
Caerleon;Vitalis ii-P-;3
Caerleon;Calvus i;6
Caerleon;Primus iii;2
Caerleon;L. Cosius Virilis;12
Caerleon;T. Flavius Secundus;2
Caerleon;Sabinus iii;2
Caerleon;Logirnus;3
Caernarfon;Passenus (Passienus);2
Caernarfon;Rufus iii;3
Caernarfon;Calvus i;2
Caernarfon;Sabinus iii;2
Caersws;Censor i;3
Caersws;Felix i-Sev-;2
Caersws;Iullinus i;2
Caersws;Passenus (Passienus);2
Caersws;Calvus i;2
Caerwent;Crestus i;2
Caerwent;Mona-;2
Caerwent;Severus iii;3
Caerwent;Silvinus ii;2
Caerwent;Virilis ii;2
Caerwent;Vitalis ii;5
Caerwent;L. Cosius Virilis;3
Cambridge;Rufinus iii;2
Camelon;Germanus i;2
Camelon;Cosius Rufinus;2
Camelon;Frontinus;4
Camelon;Passenus (Passienus);3
Camelon;Rufinus iii;2
Camelon;Virtus i;2
Camelon;Vitalis ii;2
